title,sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,Neighborhood_code,Neighborhood_name,District_code,District_name
 Chalet adosado en venta en Peñagrande,489.0,6,5,Otro,1960,1190000,Casa o chalet,True,False,False,False,False,False,True,True,True,False,False,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
Piso en venta en avenida de Monforte de Lemos,59.0,2,1,3,833,175000,Pisos,False,False,False,False,True,False,False,False,True,False,False,True,False,no indicado,False,54, Pilar,8, Fuencarral
Piso en venta en Tres Olivos - Valverde,50.0,2,1,Bajo,373,65000,Pisos,True,False,False,False,False,True,False,False,False,False,False,False,False,en trámite,False,55, Tres Olivos,8, Fuencarral
Piso en venta en Cerro del Castañar,98.0,3,2,1,1416,390000,Pisos,False,False,True,True,True,True,False,True,True,False,False,False,True,en trámite,True,56, Mirasierra,8, Fuencarral
" Chalet adosado en venta en calle Marbella, Madrid",383.0,5,4,Otro,712,1330000,Casa o chalet,False,False,False,True,False,False,True,True,True,True,True,True,False,en trámite,True,56, Mirasierra,8, Fuencarral
Ático en venta en Las Tablas,90.0,2,2,5,1435,398000,Áticos,False,False,True,True,True,True,False,True,True,False,True,False,True,no indicado,True,51, Las Tablas,8, Fuencarral
Piso en venta en Pilar,95.0,4,2,4,1238,315000,Pisos,True,False,True,True,True,True,False,False,True,False,False,False,False,en trámite,True,54, Pilar,8, Fuencarral
 Chalet adosado en venta en Peñagrande,400.0,6,4,Otro,2514,950000,Casa o chalet,False,False,True,True,False,False,True,True,True,False,True,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
Piso en venta en La Paz,142.0,4,2,5,1931,615000,Pisos,True,False,True,True,True,True,False,True,False,False,True,False,True,en trámite,True,50, La Paz,8, Fuencarral
" Casa o chalet independiente en venta en calle Caballero de la Triste Figura, 38",500.0,4,4,Otro,1059,1300000,Casa o chalet,False,False,True,True,False,False,True,True,True,True,True,True,False,en trámite,True,55, Tres Olivos,8, Fuencarral
 Chalet pareado en venta en Mirasierra,613.0,6,5,Otro,-24524,1950000,Casa o chalet,False,False,False,True,False,False,True,True,False,False,False,False,False,en trámite,True,56, Mirasierra,8, Fuencarral
 Chalet adosado en venta en Arroyo del Fresno,268.0,5,4,Otro,2514,990000,Casa o chalet,False,False,True,True,False,False,True,True,True,False,False,False,False,en trámite,False,48, Arroyo del Fresno,8, Fuencarral
 Casa o chalet independiente en venta en Mirasierra,590.0,4,5,Otro,-366133,3200000,Casa o chalet,False,False,True,True,False,False,True,True,True,False,True,False,False,en trámite,True,56, Mirasierra,8, Fuencarral
