sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
64.0,3,1,10,80500,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
80.0,3,1,3,182000,1,False,True,False,True,True,False,False,True,False,False,False,False,False,21
120.0,3,2,2,295000,1,False,True,True,False,True,False,False,True,True,True,False,False,True,21
82.0,2,2,6,270000,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
81.0,3,1,3,116100,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
103.0,3,2,4,250000,1,False,True,True,True,True,False,True,False,False,True,False,False,True,21
63.0,3,1,4,79900,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
70.0,3,1,3,99000,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
60.0,3,1,2,74550,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
45.0,2,1,3,105000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
95.0,3,1,2,130000,1,False,True,True,False,True,False,False,True,True,False,True,False,False,21
70.0,3,1,2,120000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
71.0,3,1,1,149000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
70.0,3,1,3,135000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
98.0,4,2,10,230000,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
55.0,3,1,2,91000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
115.0,4,1,1,184900,1,False,True,True,False,True,False,False,True,True,False,False,False,False,21
78.0,3,1,4,127000,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
68.0,3,1,4,83900,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
120.0,3,1,2,180000,1,False,True,True,False,True,False,True,True,False,True,False,True,True,21
64.0,3,1,1,76000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
92.0,4,1,5,163000,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
154.0,3,2,3,280000,1,False,True,True,True,True,False,True,True,False,True,False,True,True,21
105.0,3,2,10,180000,1,False,True,True,False,True,False,False,True,False,True,False,False,False,21
70.0,2,1,10,128000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,2,166200,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
53.0,3,1,3,114300,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
86.0,3,1,4,129000,1,False,True,True,True,False,False,False,True,False,False,True,False,False,21
75.0,3,2,1,132000,1,False,False,False,False,True,False,False,False,False,True,False,False,False,21
85.0,3,1,10,135000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
65.0,2,1,10,99000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
53.0,3,1,3,114300,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
68.0,3,1,2,88000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
75.0,3,1,5,110000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
83.0,2,1,1,146000,1,False,False,True,True,True,False,False,True,True,True,True,False,False,21
